Elementary Schools,2013 growth,2012 base,,growth,,,,,,,,source
  Academia Moderna,768,802,,-34,,,,,,,,http://www.cde.ca.gov/ta/ac/ap/glossary13f.asp#gf7
  Academy for Enriched Sciences,952,963*,,-11,,,,,,,,
  Accelerated,774,767,,7,,,,,,,,
  Accelerated Elementary Charter,745,760*,,-15,,,,,,,,
  Albion Street Elementary,814,830,,-16,,,,,,,,
  Aldama Elementary,773,760,,13,,,,,,,,
  Alexandria Avenue Elementary,744,729,,15,,,,,,,,
  Allesandro Elementary,840,831,,9,,,,,,,,
  Alta California Elementary,674,688,,-14,,,,,,,,
  Alta Loma Elementary,763,790,,-27,,,,,,,,
  Ambassador School of Global Education,729,741,,-12,,,,,,,,
  Ambler Avenue Elementary,794,835,,-41,,,,,,,,
  Amestoy Elementary,825,840,,-15,,,,,,,,
  Anatola Avenue Elementary,825,792,,33,,,,,,,,
  Andasol Avenue Elementary,863,849,,14,,,,,,,,
  Andres and Maria Cardenas Elementary,675,703,,-28,,,,,,,,
  Angeles Mesa Elementary,706,684,,22,,,,,,,,
  Annalee Avenue Elementary,724,763,,-39,,,,,,,,
  Annandale Elementary,804,814,,-10,,,,,,,,
  Apperson Street Elementary,875,901,,-26,,,,,,,,
  Apple Academy Charter Public,708,B,,B,,,,,,,,
  Aragon Avenue Elementary,757,774,,-17,,,,,,,,
  Ararat Charter,877,878,,-1,,,,,,,,
  Arlington Heights Elementary,739,762,,-23,,,,,,,,
  Arminta Street Elementary,756,802,,-46,,,,,,,,
  Arroyo Seco Museum Science,889,873,,16,,,,,,,,
  Arts In Action Community Charter,708,647*,,61,,,,,,,,
  Ascot Avenue Elementary,747,768,,-21,,,,,,,,
  Aspire Antonio Maria Lugo Academy,835,821,,14,,,,,,,,
  Aspire Firestone Academy,860,835,,25,,,,,,,,
  Aspire Gateway Academy,844,838,,6,,,,,,,,
  Aspire Huntington Park Charter,826,854,,-28,,,,,,,,
  Aspire Inskeep Academy Charter,776,773,,3,,,,,,,,
  Aspire Juanita Tate Academy Charter,752,748,,4,,,,,,,,
  Aspire Slauson Academy Charter,783,757,,26,,,,,,,,
  Atwater Avenue Elementary,781,808,,-27,,,,,,,,
  Aurora Elementary,763,818,,-55,,,,,,,,
  Avalon Gardens Elementary,814,800,,14,,,,,,,,
  Balboa Gifted/High Ability Magnet Elemen,981,984,,-3,,,,,,,,
  Baldwin Hills Elementary,863,869,,-6,,,,,,,,
  Bandini Street Elementary,808,828,,-20,,,,,,,,
  Barton Hill Elementary,763,779,,-16,,,,,,,,
  Bassett Street Elementary,780,785,,-5,,,,,,,,
  Beachy Avenue Elementary,750,752,,-2,,,,,,,,
  Beckford Charter for Enriched Studies,933,924,,9,,,,,,,,
  Beethoven Street Elementary,890,901,,-11,,,,,,,,
  Bellingham Elementary,733,B,,B,,,,,,,,
  Belvedere Elementary,713,732,,-19,,,,,,,,
  Bertrand Avenue Elementary,825,840,,-15,,,,,,,,
  Betty Plasencia Elementary,786,788,,-2,,,,,,,,
  Birdielee V. Bright Elementary,778,808,,-30,,,,,,,,
  Blythe Street Elementary,738,739,,-1,,,,,,,,
  Bonita Street Elementary,808,801,,7,,,,,,,,
  Braddock Drive Elementary,860,839,,21,,,,,,,,
  Brainard Elementary,752,754,,-2,,,,,,,,
  Breed Street Elementary,738,752,,-14,,,,,,,,
  Brentwood Science,839,850,,-11,,,,,,,,
  Bridge Street Elementary,684,716,,-32,,,,,,,,
  Broad Avenue Elementary,790,798,,-8,,,,,,,,
  Broadacres Avenue Elementary,783,786,,-3,,,,,,,,
  Broadway Elementary,883,884,,-1,,,,,,,,
  Brockton Avenue Elementary,776,795,,-19,,,,,,,,
  Brooklyn Avenue Elementary,831,814,,17,,,,,,,,
  Bryson Avenue Elementary,850,850,,0,,,,,,,,
  Buchanan Street Elementary,758,781,,-23,,,,,,,,
  Budlong Avenue Elementary,725,755,,-30,,,,,,,,
  Burbank Boulevard Elementary,874,856,,18,,,,,,,,
  Burton Street Elementary,807,813,,-6,,,,,,,,
  Bushnell Way Elementary,738,706,,32,,,,,,,,
  Cabrillo Avenue Elementary,765,780,,-15,,,,,,,,
  Cahuenga Elementary,858,873,,-15,,,,,,,,
  Calabash Charter Academy,888,877,,11,,,,,,,,
  Calahan Street Elementary,830,861,,-31,,,,,,,,
  Calvert Street Elementary,804,808,,-4,,,,,,,,
  Camellia Avenue Elementary,747,721,,26,,,,,,,,
  Camino Nuevo Academy #2,866,855,,11,,,,,,,,
  Camino Nuevo Charter Academy,821,824,,-3,,,,,,,,
  Camino Nuevo Charter Academy No. 4,775,790,,-15,,,,,,,,
  Camino Nuevo Elementary No. 3,764,779,,-15,,,,,,,,
  Canfield Avenue Elementary,893,898,,-5,,,,,,,,
  Canoga Park Elementary,752,759,,-7,,,,,,,,
  Cantara Street Elementary,809,828,,-19,,,,,,,,
  Canterbury Avenue Elementary,800,807,,-7,,,,,,,,
  Canyon Elementary,978,971,,7,,,,,,,,
  Capistrano Avenue Elementary,861,B,,B,,,,,,,,
  Carlos Santana Arts Academy,667,657,,10,,,,,,,,
  Caroldale Learning Community,835,840,,-5,,,,,,,,
  Carpenter Community Charter,943,942,,1,,,,,,,,
  Carson Street Elementary,854,849,,5,,,,,,,,
  Carson-Gore Academy of Enviornmental Stu,728,755,,-27,,,,,,,,
  Carthay Center Elementary,780,815,,-35,,,,,,,,
  Castelar Street Elementary,874,852,,22,,,,,,,,
  Castle Heights Elementary,899,896,,3,,,,,,,,
  Castlebay Lane Charter,939,952,,-13,,,,,,,,
  Catskill Avenue Elementary,827,778,,49,,,,,,,,
  Celerity Dyad Charter,871,888,,-17,,,,,,,,
  Celerity Nascent Charter,910,891,,19,,,,,,,,
  Celerity Octavia Charter,903,895,,8,,,,,,,,
  Celerity Palmati Charter,895,866,,29,,,,,,,,
  Celerity Troika Charter,947,966,,-19,,,,,,,,
  Center for Advanced Learning,830,816,,14,,,,,,,,
  Central Region Elementary #21,740,B,,B,,,,,,,,
  Century Park Elementary,769,790,,-21,,,,,,,,
  Cesar Chavez Elementary,744,761,,-17,,,,,,,,
  Chandler Elementary,850,873,,-23,,,,,,,,
  Chapman Elementary,877,877,,0,,,,,,,,
  Charles H. Kim Elementary,885,874,,11,,,,,,,,
  Charles W. Barrett Elementary,711,732,,-21,,,,,,,,
  Charles White Elementary,769,835,,-66,,,,,,,,
  Charnock Road Elementary,808,796,,12,,,,,,,,
  Chase Street Elementary,742,780,,-38,,,,,,,,
  Chatsworth Park Elementary,826,858,,-32,,,,,,,,
  Cheremoya Avenue Elementary,846,844,,2,,,,,,,,
  CHIME Institute's Schwarzenegger Communi,833,852,,-19,,,,,,,,
  Christopher Dena Elementary,734,726,,8,,,,,,,,
  Cienega Elementary,794,768,,26,,,,,,,,
  Cimarron Avenue Elementary,804,770,,34,,,,,,,,
  Citizens of the World Charter,912,928*,,-16,,,,,,,,
  City Charter Middle,863,B,,B,,,,,,,,
  City Terrace Elementary,826,800,,26,,,,,,,,
  CLAS Affirmation,745,730,,15,,,,,,,,
  Clifford Street Elementary,861,844,,17,,,,,,,,
  Clover Avenue Elementary,953,957,,-4,,,,,,,,
  Coeur D'Alene Avenue Elementary,912,926,,-14,,,,,,,,
  Cohasset Street Elementary,773,792,,-19,,,,,,,,
  Coldwater Canyon Elementary,825,846,,-21,,,,,,,,
  Colfax Charter Elementary,933,928,,5,,,,,,,,
  Coliseum Street Elementary,655,704,,-49,,,,,,,,
  Columbus Avenue,767,776,,-9,,,,,,,,
  Commonwealth Avenue Elementary,858,848,,10,,,,,,,,
  Community Magnet Charter Elementary,962,962,,0,,,,,,,,
  Compton Avenue Elementary,714,753,,-39,,,,,,,,
  Corona Avenue Elementary,749,754,,-5,,,,,,,,
  Cowan Avenue Elementary,829,840,,-11,,,,,,,,
  Crescent Heights Boulevard Elementary,833,822,,11,,,,,,,,
  Crestwood Street Elementary,840,840,,0,,,,,,,,
  Dahlia Heights Elementary,849,859,,-10,,,,,,,,
"  Danny J. Bakewell, Sr., Primary Center",,,,,,,,,,,,
  Danube Avenue Elementary,847,860,,-13,,,,,,,,
  Darby Avenue Elementary,880,901,,-21,,,,,,,,
  Dayton Heights Elementary,790,824,,-34,,,,,,,,
  Dearborn Elementary Charter Academy,856,842,,14,,,,,,,,
  Del Amo Elementary,818,807,,11,,,,,,,,
  Delevan Drive Elementary,916,900,,16,,,,,,,,
  Denker Avenue Elementary,840,839,,1,,,,,,,,
  Dixie Canyon Community Charter,906,892,,14,,,,,,,,
  Dolores Huerta Elementary,727,721,,6,,,,,,,,
  Dolores Street Elementary,825,832,,-7,,,,,,,,
  Dominguez Elementary,798,789,,9,,,,,,,,
  Dorris Place Elementary,872,884,,-12,,,,,,,,
  Downtown Value,837,815,,22,,,,,,,,
"  Dr. Lawrence H. Moore Math, Science, Tec",673,B,,B,,,,,,,,
  Dr. Owen Lloyd Knox Elementary,718,720,,-2,,,,,,,,
"  Dr. Theo. T. Alexander Jr., Science Cent",766,776,,-10,,,,,,,,
  Dyer Street Elementary,817,818,,-1,,,,,,,,
  Eagle Rock Elementary,887,875,,12,,,,,,,,
  Eastman Avenue Elementary,743,742,,1,,,,,,,,
  El Dorado Avenue Elementary,724,778,,-54,,,,,,,,
  El Oro Way Charter For Enriched Studies,900,900,,0,,,,,,,,
  El Sereno Elementary,832,810,,22,,,,,,,,
  Ellen Ochoa Learning Center,720,714,,6,,,,,,,,
  Elysian Heights Elementary,820,824,,-4,,,,,,,,
  Emelita Street Elementary,825,827,,-2,,,,,,,,
  Enadia Technology Enriched Charter,855,861,,-6,,,,,,,,
  Encino Charter Elementary,942,950,,-8,,,,,,,,
  Equitas Academy Charter,894,868,,26,,,,,,,,
  Erwin Elementary,798,797,,1,,,,,,,,
  Eshelman Avenue Elementary,824,842,,-18,,,,,,,,
  Esperanza Elementary,675,699,,-24,,,,,,,,
  Estrella Elementary,733,725,,8,,,,,,,,
  Euclid Avenue Elementary,697,728,,-31,,,,,,,,
  Evergreen Avenue Elementary,749,758,,-9,,,,,,,,
  Extera Public,802,745*,,57,,,,,,,,
  Fair Avenue Elementary,825,812,,13,,,,,,,,
  Fairburn Avenue Elementary,941,976,,-35,,,,,,,,
  Farmdale Elementary,701,724,,-23,,,,,,,,
  Fenton Avenue Charter,808,815,,-7,,,,,,,,
  Fenton Primary Center,832,B,,B,,,,,,,,
  Fernangeles Elementary,730,775,,-45,,,,,,,,
  Fifteenth Street Elementary,817,822,,-5,,,,,,,,
  Fifty-Fourth Street Elementary,729,764,,-35,,,,,,,,
  Fifty-Ninth Street Elementary,709,699,,10,,,,,,,,
  Fifty-Second Street Elementary,698,671,,27,,,,,,,,
  Figueroa Street Elementary,743,755,,-12,,,,,,,,
  First Street Elementary,745,755,,-10,,,,,,,,
  Fishburn Avenue Elementary,782,823,,-41,,,,,,,,
  Fletcher Drive Elementary,747,741,,6,,,,,,,,
  Florence Avenue Elementary,823,800,,23,,,,,,,,
  Florence Griffith Joyner Elementary,618,639,,-21,,,,,,,,
  Ford Boulevard Elementary,778,791,,-13,,,,,,,,
  Forty-Ninth Street Elementary,676,709,,-33,,,,,,,,
  Forty-Second Street Elementary,640,629,,11,,,,,,,,
  Fourth Street Elementary,782,811,,-29,,,,,,,,
  Frank del Olmo Elementary,819,848,,-29,,,,,,,,
  Franklin Avenue Elementary,916,914,,2,,,,,,,,
  Frederick Douglass Academy Elementary,741,730,,11,,,,,,,,
  Fries Avenue Elementary,771,775,,-4,,,,,,,,
  Fullbright Avenue Elementary,831,831,,0,,,,,,,,
  Futuro College Preparatory Elementary,863,908*,,-45,,,,,,,,
  Gabriella Charter,892,892,,0,,,,,,,,
  Garden Grove Elementary,800,798,,2,,,,,,,,
  Gardena Elementary,801,791,,10,,,,,,,,
  Gardner Street Elementary,864,871,,-7,,,,,,,,
  Garr Academy of Math and Entrepreneurial,801,779,,22,,,,,,,,
  Garvanza Elementary,803,835,,-32,,,,,,,,
  Gates Street Elementary,797,792,,5,,,,,,,,
  Gault Street Elementary,763,780,,-17,,,,,,,,
  George De La Torre Jr. Elementary,775,774,,1,,,,,,,,
  Germain Academy For Academic Achievement,866,895,,-29,,,,,,,,
  Glassell Park Elementary,742,749,,-7,,,,,,,,
  Gledhill Street Elementary,829,839,,-10,,,,,,,,
  Glen Alta Elementary,752,739,,13,,,,,,,,
  Glenfeliz Boulevard Elementary,814,834,,-20,,,,,,,,
  Glenwood Elementary,762,774,,-12,,,,,,,,
  Global Education Academy,849,844,,5,,,,,,,,
  Goethe International Charter,921,891,,30,,,,,,,,
  Graham Elementary,701,742,,-41,,,,,,,,
  Granada Elementary,837,829,,8,,,,,,,,
  Grand View Boulevard Elementary,805,775,,30,,,,,,,,
  Grant Elementary,789,783,,6,,,,,,,,
  Grape Street Elementary,709,736,,-27,,,,,,,,
  Gratts Learning Academy for Young Schola,746,751,,-5,,,,,,,,
  Gridley Street Elementary,770,767,,3,,,,,,,,
  Griffin Avenue Elementary,746,753,,-7,,,,,,,,
  Gulf Avenue Elementary,834,828,,6,,,,,,,,
  Haddon Avenue Elementary,779,789,,-10,,,,,,,,
  Halldale Elementary,835,830,,5,,,,,,,,
  Hamlin Charter Academy,865,874,,-9,,,,,,,,
  Hancock Park Elementary,920,913,,7,,,,,,,,
  Harbor City Elementary,819,817,,2,,,,,,,,
  Harding Street Elementary,821,857,,-36,,,,,,,,
  Harmony Elementary,725,723,,2,,,,,,,,
  Harrison Street Elementary,697,705,,-8,,,,,,,,
  Harry Bridges Span,825,B,,B,,,,,,,,
  Hart Street Elementary,703,705,,-2,,,,,,,,
  Harvard Elementary,830,846,,-16,,,,,,,,
  Haskell Elementary,837,834,,3,,,,,,,,
  Hawaiian Avenue Elementary,811,838,,-27,,,,,,,,
  Haynes Charter For Enriched Studies,909,906,,3,,,,,,,,
  Hazeltine Avenue Elementary,759,785,,-26,,,,,,,,
  Heliotrope Avenue Elementary,783,794,,-11,,,,,,,,
  Herrick Avenue Elementary,820,814,,6,,,,,,,,
  Hesby Oaks Leadership Charter,911,911,,0,,,,,,,,
  Hillcrest Drive Elementary,707,692,,15,,,,,,,,
  Hillery T. Broadous Elementary,753,738,,15,,,,,,,,
  Hillside Elementary,722,771,,-49,,,,,,,,
  Hobart Boulevard Elementary,809,821,,-12,,,,,,,,
  Holmes Avenue Elementary,693,709,,-16,,,,,,,,
  Hooper Avenue Elementary,675,696,,-21,,,,,,,,
  Hooper Avenue Primary Center,,,,,,,,,,,,
  Hoover Street Elementary,812,787,,25,,,,,,,,
  Hope Street Elementary,776,771,,5,,,,,,,,
  Hubbard Street Elementary,782,814,,-32,,,,,,,,
  Humphreys Avenue Elementary,752,762,,-10,,,,,,,,
  Huntington Drive Elementary,731,736,,-5,,,,,,,,
  Huntington Park Elementary,785,798,,-13,,,,,,,,
  ICEF Vista Elementary Academy,836,814,,22,,,,,,,,
  Independence Elementary,778,787,,-9,,,,,,,,
  Ivanhoe Elementary,944,950,,-6,,,,,,,,
  Ivy Academia,822,864,,-42,,,,,,,,
  Jaime Escalante Elementary,767,735,,32,,,,,,,,
  John B. Monlux Elementary,828,832,,-4,,,,,,,,
  John W. Mack Elementary,721,738,,-17,,,,,,,,
  Judith F. Baca Arts Academy,679,671,,8,,,,,,,,
  Julie Korenstein Elementary,720,760,,-40,,,,,,,,
  Justice Street Academy Charter,901,894,,7,,,,,,,,
  Kenter Canyon Elementary,960,946,,14,,,,,,,,
  Kentwood Elementary,892,878,,14,,,,,,,,
  Kester Avenue Elementary,913,901,,12,,,,,,,,
  Kingsley Elementary,789,798,,-9,,,,,,,,
  KIPP Empower Academy,991,B,,B,,,,,,,,
  KIPP Raices Academy,970,961,,9,,,,,,,,
  Kittridge Street Elementary,810,811,,-1,,,,,,,,
  Knollwood Preparatory Academy,844,873,,-29,,,,,,,,
  La Salle Avenue Elementary,628,654,,-26,,,,,,,,
  Lafayette Park Primary Center,,,,,,,,,,,,
  Lake Street Primary,,,,,,,,,,,,
  Lanai Road Elementary,951,963,,-12,,,,,,,,
  Langdon Avenue Elementary,722,757,,-35,,,,,,,,
  Lankershim Elementary,798,822,,-24,,,,,,,,
  Larchmont Charter,909,923,,-14,,,,,,,,
  Larchmont Charter-West Hollywood,932,923,,9,,,,,,,,
  Lassen Elementary,784,769,,15,,,,,,,,
  Latona Avenue Elementary,729,746,,-17,,,,,,,,
  Laurel Elementary,756,789,,-33,,,,,,,,
  Leapwood Avenue Elementary,774,783,,-9,,,,,,,,
  Leland Street Elementary,795,818,,-23,,,,,,,,
  Lemay Street Elementary,865,894,,-29,,,,,,,,
  Lenicia B. Weemes Elementary,751,741,,10,,,,,,,,
  Leo Politi Elementary,746,753,,-7,,,,,,,,
  Liberty Boulevard Elementary,781,782,,-1,,,,,,,,
  Liggett Street Elementary,779,780,,-1,,,,,,,,
  Lillian Street Elementary,768,770,,-2,,,,,,,,
  Limerick Avenue Elementary,768,757,,11,,,,,,,,
  Lockhurst Drive Charter Elementary,868,874,,-6,,,,,,,,
  Lockwood Avenue Elementary,782,780,,2,,,,,,,,
  Logan Street Elementary,746,741,,5,,,,,,,,
  Loma Vista Elementary,785,793,,-8,,,,,,,,
  Lomita Math/Science/Technology Magnet,891,895,,-4,,,,,,,,
  Loren Miller Elementary,700,717,,-17,,,,,,,,
  Lorena Street Elementary,731,735,,-4,,,,,,,,
  Loreto Street Elementary,716,755,,-39,,,,,,,,
  Lorne Street Elementary,825,830,,-5,,,,,,,,
  Los Angeles Elementary,788,797,,-9,,,,,,,,
  Los Feliz Charter School for the Arts,835,844,,-9,,,,,,,,
  Los Feliz Elementary,793,813,,-20,,,,,,,,
  Lou Dantzler Preparatory Charter Element,796,793,,3,,,,,,,,
  Lovelia P. Flournoy Elementary,672,708,,-36,,,,,,,,
  Loyola Village Elementary,817,861,,-44,,,,,,,,
  Lucille Roybal-Allard Elementary,714,B,,B,,,,,,,,
  MacArthur Park Elementary School for the,725,B,,B,,,,,,,,
  Madison Elementary,802,836,,-34,,,,,,,,
  Magnolia Avenue Elementary,771,704,,67,,,,,,,,
  Magnolia Science Academy 7,904,906*,,-2,,,,,,,,
  Main Street Elementary,744,740,,4,,,,,,,,
  Malabar Street Elementary,753,763,,-10,,,,,,,,
  Manchester Avenue Elementary,764,782,,-18,,,,,,,,
  Manhattan Place Elementary,731,672,,59,,,,,,,,
  Maple Primary Center,,,,,,,,,,,,
  Mar Vista Elementary,913,921,,-8,,,,,,,,
  Marianna Avenue Elementary,794,795,,-1,,,,,,,,
  Marlton,530,543,,-13,,,,,,,,
  Marquez Avenue Elementary,934,929,,5,,,,,,,,
  Martha Escutia Primary Center,,,,,,,,,,,,
  Martin Luther King Jr. Elementary,716,752,,-36,,,,,,,,
  Marvin Elementary,794,800,,-6,,,,,,,,
  Maurice Sendak Elementary,812,815,,-3,,,,,,,,
  Mayall Street Elementary,860,827,,33,,,,,,,,
  Mayberry Street Elementary,781,768,,13,,,,,,,,
  Maywood Elementary,864,872,,-8,,,,,,,,
  McKinley Avenue Elementary,721,726,,-5,,,,,,,,
